file,inputs,keys,outputs,gates,iteration,backbones_count,cube_count,cpu_time,maxrss,key
dac12/apex2_enc05.bench,39,31,3,644,20,0,65652,0.11469,6.26172,1110100100011011101111010110001
dac12/apex2_enc10.bench,39,61,3,674,25,0,86632,0.257528,6.51172,1001000100011011011000101110001011010000000100001010100001010
dac12/apex2_enc25.bench,39,153,3,769,122,0,492824,4.43968,14.7227,100100010001101101100010111000101101000000001000110010000101011000000010100000010111001100010101010101100010100001010101010000010000000000100101000100000
dac12/apex2_enc50.bench,39,305,3,925,208,0,1079626,18.9244,32.4141,10010001000110110110001011100010000100000001011100101000010101100000001010000001011100110010010101010110001010000101010101000001000000000010010100010000000101000111110000000111000001010000000010001000000011101000110000000000000101001000010001000110101011001000010000011001100010100100100100010100101011011
dac12/apex4_enc05.bench,10,268,19,5633,90,0,2639980,7.56416,49.5312,0000000011100011011000101101000001100000011100001010111010100111000011000100000000110000000101010101001111101000010000010010111000000000010111000101000000001010011100010100000000100011001010000101000000001100000010001011000000000001000010100100100010010000100010000001
dac12/apex4_enc10.bench,10,536,19,5901,118,0,3674612,19.2294,60.6953,00000000111000110110001011010000011000000111000010100100101001110000110001000000001100000001010101010011100010000100000100101110000000000101101001010110000010100111000101000000001000101010100001010000000011000000100010110000000000010000101001001000100100001000100000000100100010110000000100000000011000001010100000011001000001010010010001000100001001000000000101011100000000100010100100110001100001000010000000100100100010000110100010100001001010101010000110000001010000010000010101000101000000100010100010010101010000010100010000011001
dac12/apex4_enc25.bench,10,1340,19,6705,203,0,7452306,78.1807,122.73,00000000111000110110001011010000011000000111000010100100101000010000110001000000001100000001010101010011100010000100000100101110000000000101110001010000000010100111000101000000001000101010100001010000000011000000100010110000000000010000101001001000100100001000100000000100100010110000000100000000010100001010000000011001000001000010001000000110001001000000000101011100000000101110100010110001100101000010000000100100100010000110100010100001001010101010000110000001010000000010011001000101000000100000100010010101010000010100010000011001101010001010000110000100001000000000001000011000110000000001011101100001001011000001000010010011001000101001100000100100000010000010000000100001101010101000110001000100000000110001001000011000100001101000010000010000110001100010001000000010101001100000010000000000000010101010100111010110100111010000001000100000100000000000111010101000110110000110100100000100001000000100101010011101000100000101000100100000000001000000001010100010011010001001100000000010101010100010011100000010000101001001000000000100010100000000101000001011111010100010000010010010010010010010000001010001010001001001000010000100010001100011001100100000111010000111000000000000101000000010010000101000001010010010100010010110100010101011010000100111000001001000010110010010100010000100000000110001000001100001101000001010101000100010
dac12/apex4_enc50.bench,10,2680,19,8045,278,0,12853776,234.533,202.328,0000000011100011011000110101000001100000011100001010010010100100010011000100000000110000000101010101001101001000011010010010111000000000010111000101000000001010011100010100000000100010101010000101000000001100000010001011000000000001000010100100100010010000100010011000010010001011000000100000000001100000101010000001100100000111001000100000011000100100000000010101110000000010001010001010100110110100001000000010010010001000011010001010000100101010101000011000000101000011000101010100010100000010001010001001010101000001010001000001100110101000101000011000010000100000000000100001000011000000000100000100000100101100000100000001010100100010100110000010001000001000001000000111000110101010100011100110000010000011000101000001110000000110100001000001000001000110001000100000101010100000000001000000000110001010101010011101011010011101000000100010000010000000000011101010100011011000011010010000010000101000010000001001110100010000010100010010000000000100000000101010001001101000100110000000001010101010010000010000001000010100100100000000010001010000000010100000100000101010001000001001001001011001001001000101000111000100100100001000010001010100000100110000001011101000011000000000000010100000001001000010100000101001001100001101011010001010101101000010011100000100100001011001001010001000010000000011000100000110000110100000101010100010001001001000000101001101001000001010100001010100100111000000000100111010011000110100000000101001101110001000010000000000101000001101010100001100010100000101010100001110000000001111010100000000010100010101000000000000000011010001010000001010001000100000100010000010101110000000100010011110000010100001101100101000011011100010101010000010100111110001100000001010000010100110001000101000010000100000000100000010000010100101100000101001000000100010101001000010000100001000000000000010110011000010000010110100010000010100000011001100010000100000001100011011001001010011010001001000010000000110111001010110100011010101110001101000001110100010100010100010011110010010010001100000100000000010000010011001001100010011100110001000100010000000001101010010100011101000010100010100101000001010000110000110100100110000000000100110101011000010000100001110011101010000010010100000100010101001100011000011110000001000000000100000101100000010011000000001000000010101010101000101010100000100101100110000000000000101000000000001000001001111001000010000000100011010100000000010000001000000100010101000010100100000000001000000100010001001001000000101000001010100001011000001100001011011110100010101010100000000010110100100010001001000000010001000101000001100001010100100100100001000000100010001010001000001001010100001001100000001000001000000011010000000001000101001
dac12/c1355_enc05.bench,41,27,32,573,2,0,9012,0.20579,6.51172,100101010010111000100000000
dac12/c1355_enc10.bench,41,55,32,601,9,0,32082,0.881626,6.67969,0010110110111000001010001001011101001101011100110101111
